palavra,frequência,tipo,Validação,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QE14,QE15,QE16,QE17,QE18,Column 24,Total
rule,4,N,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1
send,4,V,TRUE,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,3
status,4,N,FALSE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,3
stay,4,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
term,4,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
text,4,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,,3
title,4,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,,3
usage,4,N,FALSE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,3
visitor,4,N,FALSE,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,4
ability,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
agree,3,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
behalf,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
body,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
brand,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
break,3,V,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
browse,3,V,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,,3
calculate,3,V,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
clutter,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
compare,3,V,FALSE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2
conduct,3,V,TRUE,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,,4
contact,3,V,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2
copy,3,V,TRUE,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,3
correct,3,V,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
custom,3,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
depend,3,V,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
display,3,V,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
engage,3,V,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
enroll,3,V,TRUE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2
expertise,3,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
facilitate,3,V,TRUE,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,2
fail,3,V,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2
feedback,3,N,TRUE,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,2
fulfil,3,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
funder,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
hearing,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
hour,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
indicate,3,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
inform,3,V,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2
intend,3,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
invite,3,V,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
join,3,V,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
log,3,V,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,2
match,3,V,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
medium,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
meet,3,V,TRUE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,3
node,3,N,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,2
number,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
outcome,3,N,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
overwrite,3,V,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,2
participant,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
person,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
photo,3,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,2
picture,3,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,2
present,3,V,TRUE,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,2
preview,3,V,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
protect,3,V,FALSE,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,3
put,3,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,5
reuse,3,V,FALSE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2
run,3,V,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
schema,3,N,FALSE,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,,5
software,3,N,FALSE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,3
stakeholder,3,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
stop,3,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
summary,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
technology,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
testing,3,N,FALSE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,4
think,3,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
usefulness,3,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
visit,3,V,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,,3
want,3,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
coordinator,2,N,TRUE,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2
editor,2,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
lifecycle,2,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
like,2,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
manager,2,N,TRUE,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,4
need,2,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
policy,2,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
trust,2,N,FALSE,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,3
admin,1,V,TRUE,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,,7
developer,1,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
house,1,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
https://data.mendeley.com/,1,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
minimum,1,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
music,1,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
notice,1,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
opinion,1,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
recruiter,1,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
redesign,1,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
waste,1,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
write,1,N,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,,4
